interaction_u	projection_level	transport_dim	physical_coupling_mode	physical_coupling_theta	ideal_target_gate_error	ideal_target_gate_error_normalized	physical_target_gate_error_in_ideal_basis	physical_target_gate_error_in_ideal_basis_normalized	physical_target_gate_error_in_physical_basis	physical_target_gate_error_in_physical_basis_normalized	physical_vs_ideal_target_gate_error_in_ideal_basis	physical_vs_ideal_target_gate_error_in_ideal_basis_normalized	best_b_candidate_target_axis	best_b_candidate_overlap_x	best_b_candidate_overlap_y	best_b_candidate_score	best_b_candidate_coefficients_plus	best_b_candidate_coefficients_minus	best_c_candidate_target_axis	best_c_candidate_overlap_x	best_c_candidate_overlap_y	best_c_candidate_score	best_c_candidate_coefficients_plus	best_c_candidate_coefficients_minus	ideal_single_exchange_gamma2_to_minus_gamma3_error	ideal_single_exchange_gamma2_to_minus_gamma3_error_normalized	ideal_single_exchange_gamma3_to_gamma2_error	ideal_single_exchange_gamma3_to_gamma2_error_normalized	ideal_single_exchange_gamma1_to_gamma1_error	ideal_single_exchange_gamma1_to_gamma1_error_normalized	ideal_single_exchange_gamma0_to_gamma0_error	ideal_single_exchange_gamma0_to_gamma0_error_normalized	ideal_single_exchange_max_error	ideal_single_exchange_max_error_normalized	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_ideal_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error	physical_single_exchange_in_ideal_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error	physical_single_exchange_in_ideal_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error	physical_single_exchange_in_ideal_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_ideal_basis_max_error	physical_single_exchange_in_ideal_basis_max_error_normalized	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error	physical_single_exchange_in_physical_basis_gamma2_to_minus_gamma3_error_normalized	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error	physical_single_exchange_in_physical_basis_gamma3_to_gamma2_error_normalized	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error	physical_single_exchange_in_physical_basis_gamma1_to_gamma1_error_normalized	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error	physical_single_exchange_in_physical_basis_gamma0_to_gamma0_error_normalized	physical_single_exchange_in_physical_basis_max_error	physical_single_exchange_in_physical_basis_max_error_normalized	ideal_majorana_algebra_gamma0_square_error_normalized	ideal_majorana_algebra_gamma1_square_error_normalized	ideal_majorana_algebra_gamma2_square_error_normalized	ideal_majorana_algebra_gamma3_square_error_normalized	ideal_majorana_algebra_max_square_error_normalized	ideal_majorana_algebra_max_anticommutator_error_normalized	physical_majorana_algebra_gamma0_square_error_normalized	physical_majorana_algebra_gamma1_square_error_normalized	physical_majorana_algebra_gamma2_square_error_normalized	physical_majorana_algebra_gamma3_square_error_normalized	physical_majorana_algebra_max_square_error_normalized	physical_majorana_algebra_max_anticommutator_error_normalized
0.0	8	4	plus_only	0.7853981633974483	2.306502836503458e-06	1.153251418251729e-06	1.9999981842829753	0.9999990921414876	2.3065027381400826e-06	1.1532513690700413e-06	1.9999963994240098	0.9999981997120049	minus	1.2170819038270339e-33	1.0	1.0	-0.00213519,8.68649e-50,-2.34071e-20,0,-7.30585e-21,3.01373e-67,-5.04118e-21,2.08643e-67	0,-0.999892,-1.1101e-16,0,0,-3.42126e-18,0,-2.36074e-18	minus	9.011059722252813e-35	1.0	1.0	-0.00213519,9.35468e-51,-2.94802e-20,0,-6.93207e-21,2.89782e-68,-7.7462e-21,3.24556e-68	0,-0.999892,0,0,-2.77526e-17,-3.24623e-18,0,-3.62748e-18	0.003716477429728692	0.0013139731963439543	5.314606454691502e-06	1.8789971317250784e-06	0.0037164736297518675	0.0013139718528492638	1.8415496423663493e-07	6.510861200044534e-08	0.003716477429728692	0.0013139731963439543	3.9999973625113365	1.4142126298800353	3.999997362511332	1.4142126298800337	0.00371647362975286	0.0013139718528496149	1.8415496232250816e-07	6.510861132369934e-08	3.9999973625113365	1.4142126298800353	0.0037164774297292064	0.0013139731963441362	5.314606491916417e-06	1.878997144886073e-06	0.00371647362975286	0.0013139718528496149	1.8415496232250816e-07	6.510861132369934e-08	0.0037164774297292064	0.0013139731963441362	1.363392051837862e-15	1.3625339732686696e-15	1.3980639916187484e-15	1.6989604292864939e-15	1.6989604292864939e-15	1.9821058013345153e-13	1.363392051837862e-15	1.3625339732686696e-15	3.0375375946205914e-13	2.2087567584174934e-13	3.0375375946205914e-13	3.72832339826991e-13
0.0	32	16	plus_only	0.7853981633974483	0.6249447551324527	0.15623618878311318	4.098547256145737	1.0246368140364341	4.427310297971499	1.1068275744928748	3.826247212093172	0.956561803023293	minus	3.791921248796806e-19	0.9999459258224119	0.9999459258224119	-0.00213519,7.9018e-20,-0.00213519,-7.51593e-35,-7.77071e-19,-4.60295e-36,-4.63642e-19,-1.99511e-36	0,-0.999892,-4.44041e-16,0.999892,3.78105e-17,-9.73443e-18,-8.7233e-17,1.05675e-18	minus	-1.818378103024721e-19	0.9999459258224117	0.9999459258224117	-0.00213519,2.86133e-50,-0.00213519,3.24069e-34,-1.10522e-19,-9.2907e-53,2.7281e-21,1.5589e-51	0,-0.999892,2.12936e-16,0.999892,-1.51922e-16,-4.60815e-18,1.06815e-16,1.64667e-18	3.164261365348984	0.5593676672212176	1.7045456753251285	0.3013239514661504	2.665909607107967	0.471270690304102	0.46352608198499934	0.08194060895710614	3.164261365348984	0.5593676672212176	7.999999999997283	1.4142135623726146	7.999999999993904	1.4142135623720173	6.42859867012247	1.1364264282926049	6.427517951288831	1.1362353823886493	7.999999999997283	1.4142135623726146	7.539876211141544	1.3328743995513295	5.555586610641612	0.9820982414634678	6.42859867012247	1.1364264282926049	6.427517951288831	1.1362353823886493	7.539876211141544	1.3328743995513295	1.938227056763731e-15	1.970357305809375e-15	1.7606358111923417e-15	1.6664751825381478e-15	1.970357305809375e-15	1.7667093146958147e-13	1.938227056763731e-15	1.970357305809375e-15	0.9999883346396514	0.9999883346396509	0.9999883346396514	1.4141970650622797
0.0	56	28	plus_only	0.7853981633974483	2.191445718948158	0.4141443131452838	5.370699749615841	1.0149668502771698	3.782894269467193	0.7148998195043966	5.028844472762121	0.9503622754964501	minus	1.9291877861019708e-20	0.9999073067800494	0.9999073067800494	-0.00213519,-1.18527e-19,-0.00213519,-5.65796e-34,-2.83863e-19,-2.69827e-36,-1.8274e-19,-1.34731e-36	0,-0.999892,-1.72542e-17,0.999892,2.68685e-16,-9.8431e-18,5.11657e-17,5.16712e-19	minus	-1.0093640438207425e-19	0.9999073067800495	0.9999073067800495	-0.00213519,1.81596e-33,-0.00213519,3.16723e-34,-4.19497e-19,-3.01277e-36,-2.17696e-19,-1.8608e-36	0,-0.999892,9.02753e-17,0.999892,2.55293e-17,0,2.8513e-16,1.79991e-18	6.119682717956037	0.8177770016554656	5.978087836127332	0.7988555896724743	3.2209380842541533	0.430415956260395	2.614219474941218	0.349339771752218	6.119682717956037	0.8177770016554656	10.539333348914006	1.408377659879894	10.568102697165108	1.4122221257511942	5.617625002075281	0.7506867173264625	6.843002107447858	0.9144346208229259	10.568102697165108	1.4122221257511942	6.619062924534754	0.8845094887538211	5.756310954819352	0.7692194073095566	5.617625002075281	0.7506867173264625	6.843002107447858	0.9144346208229259	6.843002107447858	0.9144346208229259	2.0064829372625604e-15	2.0302926359325184e-15	2.0897262628697257e-15	2.025987854302718e-15	2.0897262628697257e-15	1.5952154916001003e-13	2.0064829372625604e-15	2.0302926359325184e-15	0.40824551240503176	0.4082455124050318	0.4082455124050318	0.6236053209073639
0.0	80	40	plus_only	0.7853981633974483	3.749516569248228	0.5928506241682427	6.206995901733282	0.9814122238403921	3.732949962488209	0.5902312136451426	5.125508913897621	0.8104141167706169	minus	2.1393454572921602e-19	0.9999351120391303	0.9999351120391303	-0.00213519,1.97545e-20,-0.00213519,9.90871e-34,0.00213519,-2.91365e-34,1.61765e-19,-1.41792e-36	0,-0.999892,-2.63774e-16,0.999892,-7.40085e-17,-0.999892,-1.83168e-16,9.93901e-18	minus	3.610242178821539e-19	0.9999351120391301	0.9999351120391301	-0.00213519,-1.18091e-19,-0.00213519,-6.39287e-32,0.00213519,-1.13178e-34,4.48766e-19,-3.02186e-37	0,-0.999892,2.14031e-18,0.999892,1.21692e-15,-0.999892,4.88591e-17,1.02693e-17	9.79796179053674	1.0954454302292853	9.79795897113848	1.095445115010977	0.007432947259510875	0.0008310287672718543	3.6830992881448507e-07	4.117830188086485e-08	9.79796179053674	1.0954454302292853	12.649110640668244	1.4142135623725054	12.649110639194408	1.4142135622077254	1.789588235536703	0.2000820473196986	7.513460765894625	0.8400304509409008	12.649110640668244	1.4142135623725054	4.055714886072862	0.45344270913083673	4.598622730968663	0.5141416514660829	1.789588235536703	0.2000820473196986	7.513460765894625	0.8400304509409008	7.513460765894625	0.8400304509409008	2.080483573663431e-15	2.0829014029679997e-15	2.0194447259710096e-15	2.1799089836877403e-15	2.1799089836877403e-15	2.0901486179756722e-13	2.080483573663431e-15	2.0829014029679997e-15	0.8311713716427596	0.83117137164276	0.83117137164276	0.872342906304359
0.1	8	4	plus_only	0.7853981633974483	1.8923041239906932e-06	9.461520619953466e-07	1.9999988422518808	0.9999994211259404	1.8923041264245499e-06	9.461520632122749e-07	1.9999977153615365	0.9999988576807682	minus	2.8711496192408425e-35	1.0	1.0	0.0307061,-1.01565e-49,2.42406e-20,0,-2.83096e-19,9.27302e-67,-6.81385e-20,2.22552e-67	0,0.99958,2.32023e-17,0,-6.90643e-18,-9.21565e-18,2.40154e-17,-2.21812e-18	minus	1.0925716111179363e-33	1.0	1.0	0.0307061,-7.21646e-50,-2.1684e-20,0,-2.49803e-19,6.02746e-67,-8.30685e-20,1.94733e-67	0,0.99958,-5.54879e-17,0,-1.10976e-16,-8.13187e-18,-5.54879e-17,-2.70414e-18	0.0037164546320988872	0.0013139651361646393	5.314560555929341e-06	1.8789809040620923e-06	0.0037164508321643882	0.0013139637926849132	8.529440716298773e-09	3.0156126851117525e-09	0.0037164546320988872	0.0013139651361646393	3.9999999943419198	1.4142135603726615	3.9999999943419198	1.4142135603726615	0.0037164508321645543	0.001313963792684972	8.529442767331e-09	3.0156134102611506e-09	3.9999999943419198	1.4142135603726615	0.0037164546320990715	0.0013139651361647046	5.314560543991061e-06	1.8789808998412731e-06	0.0037164508321645543	0.001313963792684972	8.529442767331e-09	3.0156134102611506e-09	0.0037164546320990715	0.0013139651361647046	1.103561363756116e-15	1.0759549462407656e-15	2.970880265177007e-15	3.3738595395567486e-15	3.3738595395567486e-15	6.428207256437146e-12	1.103561363756116e-15	1.0759549462407656e-15	2.786476954921543e-14	1.9399908338193858e-14	2.786476954921543e-14	6.43077586396256e-12
0.1	32	16	plus_only	0.7853981633974483	2.526290507342425	0.6315726268356062	4.09215462569282	1.023038656423205	4.4638147224496185	1.1159536806124046	3.4623055184362457	0.8655763796090614	minus	5.94299099551867e-19	0.9999997990987226	0.9999997990987226	0.0307061,-8.41387e-19,0.0113678,1.11998e-33,1.88237e-18,1.84337e-35,-2.0557e-19,2.72513e-36	0,0.99958,1.10976e-16,-0.999988,1.64096e-18,-1.79481e-17,-1.11e-17,7.85137e-18	minus	5.942990995518632e-19	0.9999997990987226	0.9999997990987226	0.0307061,4.20693e-19,0.0113678,-5.3264e-34,-1.49767e-18,-2.83639e-35,-5.84453e-19,-4.64877e-36	0,0.99958,1.10976e-16,-0.999988,7.4815e-18,-1.796e-17,-4.56474e-17,9.57947e-18	6.975855245322504	1.2331686371358224	6.728032907894218	1.189359423304562	1.842859118616026	0.325774544886214	5.316505358610302e-06	9.398342478219904e-07	6.975855245322504	1.2331686371358224	7.999999999899239	1.4142135623552827	7.999999999870308	1.4142135623501684	6.519448533046313	1.1524865668284343	6.518703863633509	1.1523549266305504	7.999999999899239	1.4142135623552827	7.629901532459119	1.3487887783468684	5.591885316774605	0.9885150067772022	6.519448533046313	1.1524865668284343	6.518703863633509	1.1523549266305504	7.629901532459119	1.3487887783468684	2.120756943465012e-15	2.0819638388800456e-15	0.00035322460137221946	0.0003532246013714491	0.00035322460137221946	7.179793553626565e-12	2.120756943465012e-15	2.0819638388800456e-15	0.9973293541547779	0.9973293541547777	0.9973293541547779	1.4105027220154311
0.1	56	28	plus_only	0.7853981633974483	3.2671435717738517	0.6174320991754941	4.715585101970367	0.8911618189981964	3.5809685574154573	0.676739446833073	3.524908476913688	0.6661450874412199	minus	-8.865927608132595e-18	0.9998768051851437	0.9998768051851437	0.0307061,-2.08234e-18,0.0113678,2.53096e-19,0.00129242,-1.99578e-34,-6.68287e-20,4.8536e-35	0,0.99958,-1.86683e-15,-0.999988,-9.26146e-15,0.998628,2.78457e-17,2.01143e-17	minus	1.7270683021763424e-18	0.9998768051851433	0.9998768051851433	0.0307061,-1.06806e-18,0.0113678,-9.38236e-19,0.00129242,4.35301e-35,2.74477e-18,3.36749e-37	0,0.99958,2.62942e-16,-0.999988,2.68997e-15,0.998628,-5.17706e-17,2.12986e-17	9.317849397833971	1.2451500010090215	9.609909389634199	1.284178159069752	4.785433036492067	0.639480388210807	2.6831831770971317	0.358555434094752	9.609909389634199	1.284178159069752	10.583607801997804	1.4142940825379786	10.581941137297584	1.4140713650991623	3.425891030238918	0.4578039456991441	3.425217867578644	0.4577139905548472	10.583607801997804	1.4142940825379786	9.98870911667093	1.3347974018117144	7.9575785139945685	1.0633761581329064	3.425891030238918	0.4578039456991441	3.425217867578644	0.4577139905548472	9.98870911667093	1.3347974018117144	2.3382382974147315e-15	2.2836571769450796e-15	0.0007674421363336289	0.0007674421363331438	0.0007674421363336289	6.4294361537444995e-12	2.3382382974147315e-15	2.2836571769450796e-15	1.5765142659493918	1.5765142659493918	1.5765142659493918	1.8639793758254721
0.1	80	40	plus_only	0.7853981633974483	3.749323438704253	0.5928200875480073	6.2725895820189725	0.9917834953311754	3.7906424666981318	0.5993531995062531	5.170333910257524	0.8175015710009195	minus	-8.76825677389579e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.64264e-19,0.0113678,1.83041e-35,0.00129242,3.36159e-35,4.32117e-21,-7.33844e-37	0,0.99958,4.64914e-16,-0.999988,-1.6691e-14,0.998628,-7.50851e-18,2.0548e-17	minus	1.2007820979672417e-19	0.9999136162361854	0.9999136162361854	0.0307061,6.18297e-19,0.0113678,7.60971e-34,0.00129242,-1.16789e-34,-4.01886e-19,-6.21106e-36	0,0.99958,2.89388e-17,-0.999988,-1.57876e-16,0.998628,-3.61324e-17,1.87476e-17	9.796807295312544	1.0953163537392352	9.796804474619963	1.0953160383762175	0.007432901645661559	0.0008310236674884651	1.528033003558238e-08	1.7083928339096989e-09	9.796807295312544	1.0953163537392352	12.649179431189102	1.4142212533865477	12.6474679347345	1.4140299022657608	3.64038656128984	0.4070075907710393	7.409200888470925	0.8283738422786412	12.649179431189102	1.4142212533865477	6.481515268330055	0.7246554368594396	5.009752801630753	0.5601073907458191	3.64038656128984	0.4070075907710393	7.409200888470925	0.8283738422786412	7.409200888470925	0.8283738422786412	2.2367342623592136e-15	2.1972481249278972e-15	0.000747784690355717	0.0007477846903554414	0.000747784690355717	7.037012152844694e-12	2.2367342623592136e-15	2.1972481249278972e-15	0.8975054944218157	0.8975054944218157	0.8975054944218157	1.0503723003873338
2.0	8	4	plus_only	0.7853981633974483	2.0344276269212373e-06	1.0172138134606186e-06	1.999998470145074	0.999999235072537	2.0344276279201394e-06	1.0172138139600697e-06	1.999996971148263	0.9999984855741315	minus	-1.4456600394284585e-33	1.0	1.0	0.466895,3.42114e-49,5.34455e-18,0,-6.27538e-18,-7.12168e-66,-6.0796e-18,-7.12168e-66	0,0.985504,0,0,0,-1.32458e-17,1.09413e-16,-1.28326e-17	minus	1.0076561468347723e-33	0.9999999999999998	0.9999999999999998	0.466895,1.46334e-49,6.39563e-18,0,-5.57822e-18,-6.49111e-67,-6.37899e-18,6.49111e-68	0,0.985504,6.59124e-17,0,-5.74882e-17,-1.17743e-17,4.36721e-17,-1.34645e-17	0.003716467525040951	0.0013139696945080207	5.314586495053496e-06	1.8789900749273862e-06	0.0037164637250825415	0.0013139683510198408	1.3860246299825103e-07	4.9003370737610416e-08	0.003716467525040951	0.0013139696945080207	3.999998505940564	1.4142130341433155	3.9999985059405616	1.4142130341433148	0.003716463725082481	0.0013139683510198195	1.3860246299593345e-07	4.9003370736791024e-08	3.999998505940564	1.4142130341433155	0.0037164675250408916	0.0013139696945079996	5.3145864967169355e-06	1.878990075515501e-06	0.003716463725082481	0.0013139683510198195	1.3860246299593345e-07	4.9003370736791024e-08	0.0037164675250408916	0.0013139696945079996	1.3078122902278645e-15	1.307800440424875e-15	1.5937102628163466e-15	1.915131654873781e-15	1.915131654873781e-15	1.1453647937007428e-12	1.3078122902278645e-15	1.307800440424875e-15	3.284910441414044e-15	2.6077221849724756e-15	3.284910441414044e-15	1.1459405047585533e-12
2.0	32	16	plus_only	0.7853981633974483	3.005680022927702	0.7514200057319255	4.112861310780277	1.0282153276950692	4.31970679629964	1.07992669907491	3.4538714707006903	0.8634678676751726	minus	2.467019136158301e-35	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,3.10924e-34,4.71166e-18,1.72866e-34,3.80681e-18,1.74257e-34	0,0.985504,-7.14949e-34,-0.926439,4.7104e-50,-8.01076e-19,3.80579e-50,-8.07522e-19	minus	3.775429367263896e-18	0.9972099619462811	0.9972099619462811	0.466895,2.64655e-18,-0.071514,-1.94903e-33,1.25188e-17,1.54295e-34,-1.29871e-18,1.61242e-34	0,0.985504,-1.09413e-16,-0.926439,-5.3691e-17,-7.8545e-19,-5.80351e-17,7.54761e-19	7.883492843419809	1.393617812254441	7.881099145252349	1.3931946622028597	0.25686299769076226	0.04540739187576062	0.11104409688770749	0.01963000848000849	7.883492843419809	1.393617812254441	7.9993143347750415	1.414092352740547	7.999296799716552	1.4140892529508553	6.641576895639385	1.1740760151696268	6.647786250652412	1.1751736844287535	7.9993143347750415	1.414092352740547	7.834259672251601	1.3849145349563516	7.023369594836054	1.241568066821997	6.641576895639385	1.1740760151696268	6.647786250652412	1.1751736844287535	7.834259672251601	1.3849145349563516	2.2783220297207807e-15	2.2280418225881665e-15	0.05185680011298059	0.05185680011297988	0.05185680011298059	1.0493925554871819e-12	2.2783220297207807e-15	2.2280418225881665e-15	0.7586608637150971	0.7586608637150968	0.7586608637150971	0.595681479198739
